reviewId,content,score
1259786c-13cc-48b5-9bed-a5e8e21f410d,nice platform ♥️♥️,5
bcd54507-bb4a-4a52-a9f7-4e78eb69a9e3,por favor dejame oculta sesion de reels,1
83be76c0-1392-470c-8ad3-aa6424d6ae48,অনেক অনেক ধন্যবাদ,5
3a0ea3c3-c35e-4faa-bcfe-7348890794a4,sus you,3
a01a2c1c-ee8d-4113-8510-8b8f668dfab6,great app! no frills just thrill! 😍,5
57cf49b0-4b87-45af-8663-97d0e4bfa82a,good,5
dbc14ac8-6d02-4949-8405-41a55a92b4de,love you mamah,5
49309a40-2e49-446b-932c-4b3777d00df2,ads and AI content are out of hand,1
798def87-0f81-4ce0-b4c2-49f6c3950f1e,good,5
3994417b-f1c9-4069-bf7f-d88679cf04d0,Nice apps,5
4cb86325-f66e-49d6-b2ef-70d723bdc982,wow nice 👍👍,5
a499fd92-a72b-43bc-a465-59935e45f2dd,Maintain the high standard,4
3bd5540f-688d-43eb-b32a-b1de27c21ff5,"Facebook is trying to censor people with their third party fact checker, how do they know what's false info? Why don't they go the account owner when I just shared a Story? What happened to FREEDOM OF SPEECH? Let's WAKE TF UP PEOPLE! SOMETHING ISN'T RIGHT. IF YOU DELETE MY COMMENT I'LL REPORT IT. I have screenshots and proof. TRUMP, WE NEED YOU.",1
ec911f45-bc91-46e0-9a90-605a8833ec0a,hacking for ID best,5
593ad1d3-218d-441f-819f-ee4b45539c08,my facebook account was suspended incorrectly. tried to rrach out but it says page does not found,1
c2683dc2-e160-42c0-aac1-b63a5ea1390d,md. Jahangir,3
af291b51-ffba-4f12-b9d3-613fe4ca4e36,#1 in Communication and Social Media,5
26974af1-ada3-417b-909b-a9eb76494d74,"Facebook doesn't work well. It says ""you can't send messages for 3 days."" I never posted something on Facebook, but it made my account something like that. Please fix it Facebook",1
2075df43-c552-443b-b4e6-5275635f9995,lakshmi,4
5923bdea-e32e-4007-a3db-26ae6176e46c,Exellent,5
9cd85d81-b47b-4b9e-85c9-2c1ce645f1e8,talking about 🙅🏻‍♂️,5
256e07d7-b9be-48c2-b95e-010db72b4f29,help to download apps,5
0e2b22cf-f466-4bdd-b500-bbc97f1ab028,great.,5
7a3e8d83-e4a1-4c60-b1c6-7f95a227aa1b,Facebook Good app,5
15423067-1485-4870-89d5-d36d58639c44,Myuh,5
d2ede616-bb9e-49b4-b229-e300cd685fc3,no advertised,5
379b1125-b0c9-4c2d-950b-761eb7eca8e5,it is good to use,1
3ff3bf44-0382-4514-9c05-48fe200c2852,i didnt break any rules in fb but they disabled my account many times,1
bdd8e5e8-bf80-44cc-bb32-37a074cc413d,"Facebook is a very easy and enjoyable platform to use 👍 It’s great for connecting with friends, sharing photos and videos, and discovering new things. I really like how it keeps me updated and entertained every day 💯 Overall, my experience has been excellent ❤️",5
d7957ef5-3bf1-4f60-84a7-81e589659fa2,tanya I will pray for you and your dad and I know what you are going through because I went through it myself and it's hard to see him like that but I love you and will pray for you all call me soon as you can,5
2979dfe8-514d-46ed-a0da-8a10794a5fad,This app make me feel better from stress because it has many funny video,5
0408980e-8377-4b61-9361-ad81f74f83da,Need more improvements in this app.,2
d9477d87-485f-4962-9aa4-d03acb11c510,😞😞😞,1
