text,label
Taju is worker mane,neutral
It's excellent aap do things very fast,positive
Mollamalek Mollamalek,negative
FINALLY  REKT THE YOG-DEZWA... ... and I died on the way back. You punks nerfed this game all the way up to 11  and I was *this* close to using brute strength to rekt this game  phone and all... alright  another one.,positive
One of the best chess apps.,positive
Worst app ever  very time update-Update-Update... :(,negative
Bil bum ka nara hai Baba ek sahara hau,negative
It keeps messing my phone up Fix it too many notifications and now the apps i pay for wont even work wtf google,negative
How to use?? Can anyone tell me how to use this app ??,neutral
Booring always showing while opening Google app,negative
Deadly useful The offline feature is what makes it different,positive
Good Performance Better Laging I played wwe svr 2011 it worked good but was taking months to perform a finisher.,positive
Crashes Note 4 - 5.0.1 doesn't work,negative
Insane battery drain!,negative
Helpful application,positive
Great app to access keepass db,positive
******** *******gfa,positive
Great game! So many game can play on this aplication,positive
Abandoned..?,negative
Not restoring anymore. Used to be good app.,negative
Bad net,negative
hhh@,positive
Awesome Read the title,positive
Maganda gamitin ang app n ito,positive
Very good Loved it,positive
App is awesome. But: 1)Date formating - convert dates to readable format like in robomongo 2)I have some error issues while trying to open collection in which each document contains above 150 000 numbers. Hope this feedback will help you to improve app quality,positive
Superb app Specially the wake controls,positive
Worked well Did what I needed it for. However I did notice that it would never achieve 0.0,positive
i dont know wooooo,positive
The best and quickest music downloader app I have ever had.,positive
The only great email app Nothing else compares. Remove and disable any other email apps K9_mail is All you need.,positive
Great way of communication,positive
Good care...,positive
Lost all After reset phone all data are gone,negative
G.....d ...,positive
What happened I use to be able to restore my text.. I see them in my email  but they won't load back to my messages. Very unhappy.,negative
Awesome app My Moto x play now got network access with this app,positive
its very useful,positive
Really it's very good . Veeeeeeereeeeeeeerrreeeeeeeeeeeeeeeeeeeeeeeeeeeerrrrrrrrrrrrryyyyyyyyy gggggggooiiiiiioooooooooddddddddddddd,positive
Great widget Looks great and has the functionality I need in an agenda widget. Plus no ads and free. What more could you ask for?,positive
I really like this application. It has some great plugins (TTS text-to-speech)  lots of customization  and the ability to pull books from multiple sources. It is my main 'go to' e-reader. However  the only weakness is in the lack of support for tables in ePub documents. I'm not really sure why this is  as tables certainly aren't a recent addition to the HTML/ePub markup. I have many e-books (travel guides  technical publications  etc...) that present information in tables  and when rendered by FBReader  it is a useless mess. I know that there are some HTML purists who feel that tables -- like the <frameset> and <blink> tags -- are an abomination and all layout must be via <div> or <span>...but I hope the FBReader people are not among them. Support for tables would be enough to move my review to 5 stars. If it were a feature of the Premium app  that would be reason enough for me to purchase it.,positive
No data  no data  no data 100% useless on Cryogenmod,negative
Doeant move files  interface is bad..,negative
hi I installed this app but it work for one my account ONLY. I have 3 accounts and i want take code for them too but the app can not do this!!! Please fix it...,positive
Very easy app,positive
Ok👍,positive
I got this because it supports USB microphone and the audio I captured using by Blue Snowball is fantastic. The only thing that I think is missing from this app is the ability to monitor audio levels on screen. Add that and I'll donate to support your awesome work,positive
Nice Easy to use and useful,positive
Thanks and please Please add video-edit to become more usefull,neutral
Eats up a lot of storage While installing it shows 29mb and after it 199mb,negative
It is good but!! Drains the battery out no sure why! My phone last well before installing it,negative
I searched my favorite song and all there was is stupid dubstep versions,negative
Why i cant update it.. Thats why i hated it because i can't update my google account,negative
Nice Wow it's perfect,positive
Best scrobbler by far. I love that it includes libre.fm and listenbrainz support.,positive
6 stars I would give it 6 stars if I could...,positive
A staple I've had this app for years. It's easily one of the first apps I download when moving to a new phone.,positive
Best converter  highly recommended. Thanks.,positive
Did not work on my phone. Did not work on my moto G 3 running Android 6.0,negative
Is really cool,positive
MOM 24,positive
Simple to use and has a friendly interface,positive
The best sms backup app!,positive
Useful 👍👍,positive
Loses my playlist Since the latest update the app loses my playlist every few hours  which makes the app much less useful overall. If I walk away from a half finished playlist for a meeting and then come back after lunch - gone.,neutral
Gets the job done. Haven't had any problems yet.,positive
Version 0.9.27 - now working on my device and requesting root access. Initial impression - I like the new look. SuperSu root with a Popwiz 5.1.1 ROM (modified Touchwiz from a Galaxy S6) using wenui kernel on a Galaxy S5 (SM-S902L),positive
sometimes good sometimes not Wrong information easily are broadcasted by this application.,positive
student Reading and Writing,neutral
It consume lots of memory..I hope you will resolve it.As soon as possible.It have lots of permissions too before you use whatever you want to use.I want that this app will be transferrable to the USB storage.Make a resolution with it.,negative
Nice Can be improved,positive
It Works! Fantastic! I tried other apps with no success but this streams media to my samsung HM1300 which isn't designed for media audio! Congratulations on this 5star app.,positive
This apps is delete from my phone and now i can't download again ...,positive
Too good Helpful,positive
