vectorizer,model,cv_f1_macro,accuracy,precision_macro,recall_macro,f1_macro,best_params
TF-IDF,NaiveBayes,0.850198237917736,0.8983333333333333,0.9004993018926871,0.8637566151102815,0.8798128324087496,{'alpha': 0.5}
TF-IDF,LogisticRegression,0.8427022583422069,0.895,0.9027637919281668,0.8578441923990918,0.8769758728157719,{'C': 1.0}
BoW,LogisticRegression,0.8406322868029792,0.895,0.900690361883114,0.8542821159119804,0.8738741888769423,{'C': 0.1}
GloVe,LogisticRegression,0.8270517086402258,0.8783333333333333,0.875438859936505,0.840237859131368,0.8555397049925876,{'C': 10.0}
BoW,NaiveBayes,0.8345234795384785,0.8766666666666667,0.8534780847397668,0.8515038292904991,0.8520696756255041,{'alpha': 0.1}
BoW,RandomForest,0.8320175205389158,0.8733333333333333,0.8758280044161139,0.831649259663681,0.8502507611442506,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 200}"
Word2Vec,RandomForest,0.8103923289333309,0.87,0.8667238794763136,0.8350490178520564,0.8488638829025587,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 200}"
TF-IDF,DecisionTree,0.8021543255405195,0.87,0.8708194533794679,0.8317408515303234,0.8485224744429498,"{'ccp_alpha': 0.001, 'max_depth': 30, 'min_samples_leaf': 5}"
TF-IDF,RandomForest,0.8247760800123085,0.8666666666666667,0.8637530404181545,0.834020471322308,0.847221018611465,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 200}"
BoW,DecisionTree,0.8135617031001026,0.8666666666666667,0.8687042842215256,0.828016456744476,0.8454029304702498,"{'ccp_alpha': 0.001, 'max_depth': 30, 'min_samples_leaf': 5}"
Word2Vec,LogisticRegression,0.8273983547848973,0.8683333333333333,0.8558901403469207,0.8356287585498534,0.8447750047267913,{'C': 10.0}
Word2Vec,AdaBoost,0.7868553750785436,0.86,0.8486684902219707,0.8260116125524181,0.8362928290582289,"{'learning_rate': 0.5, 'n_estimators': 200}"
Word2Vec,NaiveBayes,0.7754675905592916,0.8383333333333334,0.8027014440459689,0.8241388971611525,0.8107090641954707,{'var_smoothing': 1e-09}
Word2Vec,DecisionTree,0.73748075890707,0.795,0.7626775214834917,0.7499210013043456,0.7556268055803849,"{'ccp_alpha': 0.001, 'max_depth': 10, 'min_samples_leaf': 1}"
GloVe,AdaBoost,0.7006790284469993,0.7883333333333333,0.7710437710437711,0.7227277115371299,0.7397251168703765,"{'learning_rate': 1.0, 'n_estimators': 200}"
GloVe,NaiveBayes,0.7054223785729021,0.765,0.7244646820848196,0.7477433208152098,0.7315814585869411,{'var_smoothing': 1e-09}
GloVe,RandomForest,0.6803171319184456,0.79,0.8260554742799723,0.6800676199270699,0.7109160277606191,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 200}"
BoW,AdaBoost,0.6057451073513814,0.7416666666666667,0.834733427830773,0.6008754499571264,0.6275326366935956,"{'learning_rate': 1.0, 'n_estimators': 200}"
TF-IDF,AdaBoost,0.6102069018531739,0.7333333333333333,0.8259168853496153,0.5888163658689702,0.6121595381447598,"{'learning_rate': 1.0, 'n_estimators': 200}"
GloVe,DecisionTree,0.5723419462722467,0.665,0.6024256573827453,0.5974336197753833,0.5995416965775752,"{'ccp_alpha': 0.0, 'max_depth': 10, 'min_samples_leaf': 1}"
